日期,国家,省州,累计确诊,累计治愈,累计死亡
2020/11/22,Eritrea,,551,473,0
2020/11/22,US,,12347905,4526513,259448
2020/11/22,Netherlands,Aruba,4731,4596,45
2020/11/22,Kenya,,77372,51507,1380
2020/11/22,Canada,Northwest Territories,15,,0
2020/11/22,Canada,Grand Princess,13,,0
2020/11/22,Nigeria,,66383,62076,1167
2020/11/22,Morocco,,324941,270457,5316
2020/11/22,France,Reunion,7501,6660,35
2020/11/22,Qatar,,137229,134282,236
2020/11/22,Bosnia and Herzegovina,,80006,44416,2276
2020/11/22,Bolivia,,143978,119338,8907
2020/11/22,Central African Republic,,4911,1924,63
2020/11/22,Nicaragua,,5725,4225,159
2020/11/22,Maldives,,12608,11599,46
2020/11/22,Canada,Alberta,46872,,471
2020/11/22,Switzerland,,290601,180700,4056
2020/11/22,Egypt,,113027,101881,6548
2020/11/22,Iceland,,5277,5046,26
2020/11/22,Saudi Arabia,,355258,343371,5780
2020/11/22,Canada,Nunavut,128,,0
2020/11/22,Sudan,,16187,9737,1197
2020/11/22,Liechtenstein,,1112,883,8
2020/11/22,Philippines,,418818,386486,8123
2020/11/22,Tajikistan,,11894,11271,86
2020/11/22,Latvia,,13120,1635,153
2020/11/22,Saint Kitts and Nevis,,20,19,0
2020/11/22,El Salvador,,37562,34297,1075
2020/11/22,Togo,,2843,2248,64
2020/11/22,Equatorial Guinea,,5130,4975,85
2020/11/22,Malta,,8924,6654,111
2020/11/22,"Korea, South",,31004,26539,509
2020/11/22,Greece,,91619,23074,1630
2020/11/22,Kuwait,,140056,132178,866
2020/11/22,Netherlands,Curacao,1749,1004,3
2020/11/22,Chile,,540640,516121,15069
2020/11/22,Romania,,418645,295148,10047
2020/11/22,Canada,Quebec,132042,,6910
2020/11/22,Lesotho,,2086,1276,44
2020/11/22,Libya,,77823,48914,1089
2020/11/22,Uruguay,,4699,3679,71
2020/11/22,Bahrain,,85705,83829,338
2020/11/22,Cuba,,7846,7334,132
2020/11/22,Oman,,122081,113269,1380
2020/11/22,United Kingdom,Bermuda,227,200,9
2020/11/22,France,Mayotte,5036,2964,48
2020/11/22,United Kingdom,Anguilla,3,3,0
2020/11/22,Cambodia,,306,295,0
2020/11/22,Croatia,,103718,82380,1353
2020/11/22,Cote d'Ivoire,,21138,20798,131
2020/11/22,Australia,Western Australia,804,774,9
2020/11/22,Bulgaria,,121820,36524,2880
2020/11/22,Australia,Queensland,1196,1172,6
2020/11/22,Diamond Princess,,712,659,13
2020/11/22,Papua New Guinea,,604,586,7
2020/11/22,Norway,,32765,17998,306
2020/11/22,Mauritius,,494,433,10
2020/11/22,Brunei,,148,145,3
2020/11/22,West Bank and Gaza,,71644,59021,636
2020/11/22,Ireland,,70461,23364,2023
2020/11/22,Grenada,,41,30,0
2020/11/22,Estonia,,9724,5699,88
2020/11/22,United Kingdom,Falkland Islands (Malvinas),16,13,0
2020/11/22,Mozambique,,15037,13151,124
2020/11/22,Afghanistan,,44706,35934,1690
2020/11/22,Timor-Leste,,30,30,0
2020/11/22,Botswana,,9594,7296,31
2020/11/22,San Marino,,1395,1082,43
2020/11/22,Brazil,,6071401,5457973,169183
2020/11/22,Vietnam,,1307,1142,35
2020/11/22,Suriname,,5296,5168,116
2020/11/22,Austria,,247188,169260,2388
2020/11/22,Burundi,,662,575,1
2020/11/22,Saint Lucia,,220,60,2
2020/11/22,France,French Polynesia,12978,4842,63
